epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,986.457,0.56245,0.45675,1.01017,0.87455,0.76146,0.83753,0.62044,0.90386,0.76266,1.26558,0.000802227,0.000802227,0.000802227
133,993.451,0.54294,0.45842,1.01146,0.79588,0.79792,0.84525,0.62634,0.91422,0.77333,1.29608,0.000795626,0.000795626,0.000795626
134,999.685,0.5587,0.47385,1.0112,0.83943,0.77421,0.83923,0.61002,0.96313,0.79212,1.31856,0.000789024,0.000789024,0.000789024
135,1009.86,0.54092,0.4485,1.00635,0.83308,0.77186,0.83986,0.62027,0.92621,0.75182,1.29415,0.000782423,0.000782423,0.000782423
136,1015.88,0.54379,0.45025,1.00406,0.86356,0.74876,0.84253,0.6166,0.91602,0.77128,1.26632,0.000775822,0.000775822,0.000775822
137,1023.33,0.53641,0.432,0.9898,0.84874,0.76146,0.83783,0.62059,0.93116,0.77062,1.27654,0.00076922,0.00076922,0.00076922
138,1031.92,0.5447,0.45718,0.99708,0.82649,0.78185,0.81667,0.61204,0.92978,0.79464,1.26367,0.000762619,0.000762619,0.000762619
139,1038.18,0.54559,0.44072,0.99686,0.84801,0.75284,0.80757,0.58996,0.92991,0.82143,1.27719,0.000756018,0.000756018,0.000756018
140,1048.09,0.566,0.465,1.01466,0.82314,0.7675,0.80768,0.60314,0.92249,0.82728,1.27354,0.000749417,0.000749417,0.000749417
141,1054.5,0.53296,0.42943,0.98214,0.8866,0.74177,0.82181,0.61067,0.92959,0.81847,1.29702,0.000742815,0.000742815,0.000742815
142,1061.11,0.50639,0.42617,0.9812,0.88247,0.7438,0.84158,0.6199,0.91998,0.77729,1.30401,0.000736214,0.000736214,0.000736214
143,1070.7,0.52406,0.4525,0.9798,0.86682,0.7815,0.84457,0.61885,0.93074,0.74553,1.2886,0.000729613,0.000729613,0.000729613
144,1076.44,0.51935,0.42905,1.006,0.86711,0.76308,0.84983,0.62876,0.93809,0.76313,1.28205,0.000723011,0.000723011,0.000723011
